Gmt time,BTC,ETH,SIE.DE,USD,CHF,AAPL.US,ADA,CAT.US,DIA.US,GOOG.US,MU.US,NFLX.US,NVDA.US,SNOW.US,SPY.US
2024-02-23,46975,2706,174.704,0.9238216654656985,1.0494390748145117,168.57620604918426,0.5579882859412819,299.1306838127968,361.4978844483861,134.21004009386027,79.39877686011492,538.8531677844909,72.79779391386286,211.27616724867434,469.1600613417586
2024-02-24,47707,2769,174.704,0.9238216654656985,1.0494390748145117,168.57620604918426,0.569997967592336,299.1306838127968,361.4978844483861,134.21004009386027,79.39877686011492,538.8531677844909,72.79779391386286,211.27616724867434,469.1600613417586
2024-02-25,47855,2880,174.704,0.9242656709244506,1.0488116963480376,168.657226833281,0.5601049965802171,299.2744514483244,361.671626892434,134.2745438748914,79.43693735327282,539.1121503965101,72.83278185481635,211.37771040908,469.38554818196945
2024-02-26,50295,2931,174.644,0.9216165153679553,1.0472300764477955,166.93792912768996,0.5843048707432837,299.6783558361366,360.045159209253,127.87152665775771,82.44412699875582,541.3271277821298,72.8912031703608,212.78005621860743,466.34440809179296
2024-02-27,52682,2994,176.514,0.9223986053333088,1.0493729996327195,168.4641140822595,0.5894127088079842,302.0182081484693,359.43752133046775,129.22527741138055,84.7195447040484,554.8098475275106,72.60347006355326,215.67339710182358,467.56016344903287
2024-02-28,57690,3127,179.709,0.9226368962494811,1.0499790004199916,167.39124417585458,0.5941781611846658,304.02454214144024,359.49347234395907,126.78507173501869,82.79466715873967,550.1277852101306,71.62494810167459,212.000738109517,467.0535590718273
2024-02-29,56636,3095,182.962,0.9254289363119805,1.046375355767621,167.21297821540284,0.620037387329027,308.7471543060208,360.90525458550036,129.2148660904329,83.76705102815154,557.2997834496289,73.51477910011289,174.1176035092265,470.39275204057077
2024-03-01,57675,3175,181.373,0.9224496573099522,1.0447355774253535,165.66919110389549,0.6826127464093646,310.5768077707159,360.91488557011996,127.35063233924006,87.61150110232734,571.0479950556698,75.8655806359368,172.13556320163826,473.0469434630605
2024-03-02,57270,3161,181.373,0.9224496573099522,1.0447355774253535,165.66919110389549,0.7029066388701836,310.5768077707159,360.91488557011996,127.35063233924006,87.61150110232734,571.0479950556698,75.8655806359368,172.13556320163826,473.0469434630605
2024-03-03,58271,3220,181.373,0.9223475590071851,1.0440920053875147,165.65085455501344,0.6853042363423385,310.5424325994521,360.8749388944742,127.33653695385495,87.60180411182542,570.984790488752,75.85718370396333,172.1165109436538,472.99458581982867
2024-03-04,62997,3347,181.002,0.9213023530062096,1.0407885013686369,161.3071437784452,0.7241436494628807,311.7834570949494,359.5170533065541,123.59915977225407,88.2211494168156,567.2329605129812,78.5186379466013,163.85178087744836,471.93344511801877
2024-03-05,58807,3280,178.663,0.9211750508949216,1.0425571842615566,156.70753613309137,0.6521919360336045,307.05159501460065,355.7089823779213,123.19426660648323,87.02064353289056,550.8322816584836,79.08628646701733,154.43315493243182,467.1158930331531
2024-03-06,60696,3509,179.513,0.91746486109582,1.0401822399284355,155.14973026533085,0.688098645821865,307.85258174611914,355.24789900546807,121.60629747880655,87.64266578590039,548.0439649161438,81.35032478256082,153.13222503578112,467.76670703512053
2024-03-07,61165,3540,181.729,0.9131419387829643,1.0408751678411208,154.29085397034115,0.692161589597487,310.6837606837606,354.70724669442615,123.45313755570164,90.37913653298268,554.9400978888158,84.6360216232011,153.37862517349694,470.15486887281753
2024-03-08,62516,3564,181.883,0.913934763336593,1.0417860379835189,156.01506164489976,0.6799674639224251,309.99479057184897,354.5491102845079,124.54828774322087,89.20643044499482,552.36937587395,79.91409013224636,148.3105915899723,467.6942339855781
2024-03-09,62588,3579,181.883,0.913934763336593,1.0417860379835189,156.01506164489976,0.6964182896624839,309.99479057184897,354.5491102845079,124.54828774322087,89.20643044499482,552.36937587395,79.91409013224636,148.3105915899723,467.6942339855781
2024-03-10,63127,3549,181.883,0.9138345411179852,1.0413846249973966,155.9979530106279,0.6689268840983651,309.960796498186,354.51023037768783,124.53462975993565,89.19664805490318,552.3088029681346,79.90532674154018,148.29432782900327,467.64294656809443
2024-03-11,66002,3722,180.224,0.9148377535244125,1.0428072370822254,158.04462578561694,0.722721825284286,306.36727076452996,355.3385357106917,127.09474974613252,86.47595348964862,549.3390297230786,78.46160883367335,148.4122990787584,467.70805697609535
2024-03-12,65448,3646,182.716,0.9151642719868216,1.0430356509585497,158.5128580580214,0.6982703395259449,308.5165187151093,357.57847533632287,127.74503523382447,89.1516427198682,558.8697721240962,84.07577560172051,148.07998535737164,472.96238674842135
